SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,,Single Family Residential,2611 Poplarwood Way,San Jose,CA,95132,1255000,3,3.0,,2205,6218,1964,,569,,,,,http://www.redfin.com/CA/San-Jose/2611-Poplarwood-Way-95132/home/1077347,,,N,Y,37.4077284,-121.8856338
PAST SALE,May-17-2019,Single Family Residential,3143 Kermath Dr,SAN JOSE,CA,95132,1150000,4,2.0,SAN JOSE,1598,6104,1970,324,720,,Sold,,,http://www.redfin.com/CA/San-Jose/3143-Kermath-Dr-95132/home/1102903,MLSListings,ML81745305,N,Y,37.4132609,-121.8688249
PAST SALE,April-9-2019,Single Family Residential,3227 Mattos Ave,SAN JOSE,CA,95132,1100000,3,2.0,SAN JOSE,1248,6042,1963,362,881,,Sold,,,http://www.redfin.com/CA/San-Jose/3227-Mattos-Ave-95132/home/696939,MLSListings,ML81739004,N,Y,37.4038661,-121.8528141
PAST SALE,July-1-2019,Single Family Residential,1481 Stubbins Way,SAN JOSE,CA,95132,1250000,4,2.0,SAN JOSE,1598,6300,1973,279,782,,Sold,,,http://www.redfin.com/CA/San-Jose/1481-Stubbins-Way-95132/home/1370389,MLSListings,ML81754108,N,Y,37.3998604,-121.8602861
PAST SALE,July-9-2019,Single Family Residential,3430 Cardoza Ct,SAN JOSE,CA,95132,1349000,3,2.0,SAN JOSE,1505,11545,1973,271,896,,Sold,,,http://www.redfin.com/CA/San-Jose/3430-Cardoza-Ct-95132/home/1336894,MLSListings,ML81754912,N,Y,37.4104369,-121.8508793
PAST SALE,July-17-2019,Single Family Residential,3378 Copper Leaf Dr,SAN JOSE,CA,95132,1148888,4,2.5,SAN JOSE,1835,3252,1988,263,626,57,Sold,,,http://www.redfin.com/CA/San-Jose/3378-Copper-Leaf-Dr-95132/home/1636432,MLSListings,ML81746869,N,Y,37.4032609,-121.8461867
PAST SALE,,Single Family Residential,2741 Camino Del Rey,San Jose,CA,95132,1350000,5,3.5,,2653,6495,1999,,509,,,,,http://www.redfin.com/CA/San-Jose/2741-Camino-Del-Rey-95132/home/1626631,,,N,Y,37.3959925,-121.867046
PAST SALE,,Single Family Residential,1435 Mardan Dr,San Jose,CA,95132,900000,3,2.0,,1080,6321,1971,,833,,,,,http://www.redfin.com/CA/San-Jose/1435-Mardan-Dr-95132/home/1648441,,,N,Y,37.4046802,-121.8534812
PAST SALE,June-11-2019,Single Family Residential,2144 Sierra Wood Dr,SAN JOSE,CA,95132,950000,5,2.5,SAN JOSE,1688,6469,1963,299,563,,Sold,,,http://www.redfin.com/CA/San-Jose/2144-Sierra-Wood-Dr-95132/home/854167,MLSListings,ML81749143,N,Y,37.411084,-121.880209
PAST SALE,June-17-2019,Single Family Residential,3005 Via Montez,SAN JOSE,CA,95132,1210000,4,2.0,SAN JOSE,1579,8051,1969,293,766,,Sold,,,http://www.redfin.com/CA/San-Jose/3005-Via-Montez-95132/home/1391183,MLSListings,ML81748419,N,Y,37.4093582,-121.8740724
PAST SALE,,Single Family Residential,1932 Camargo Dr,San Jose,CA,95132,900000,4,2.0,,1806,6301,1970,,498,,,,,http://www.redfin.com/CA/San-Jose/1932-Camargo-Dr-95132/home/1682703,,,N,Y,37.4082276,-121.8749618
PAST SALE,July-29-2019,Multi-Family (2-4 Unit),3284 Rockport Ave,SAN JOSE,CA,95132,1250000,5,,SAN JOSE,2314,6925,1978,251,540,,Sold,,,http://www.redfin.com/CA/San-Jose/3284-Rockport-Ave-95132/home/1504025,MLSListings,ML81750108,N,Y,37.3973075,-121.8464981
PAST SALE,May-14-2019,Single Family Residential,3468 Madrid Dr,SAN JOSE,CA,95132,1005755,4,2.0,SAN JOSE,1610,6037,1969,327,625,,Sold,,,http://www.redfin.com/CA/San-Jose/3468-Madrid-Dr-95132/home/1482227,MLSListings,ML81743165,N,Y,37.4186834,-121.8639552
PAST SALE,April-17-2019,Single Family Residential,1653 Old Piedmont Rd,SAN JOSE,CA,95132,1060000,2,1.0,SAN JOSE,1485,16802,1946,354,714,,Sold,,,http://www.redfin.com/CA/San-Jose/1653-Old-Piedmont-Rd-95132/home/934914,MLSListings,ML81739849,N,Y,37.4103172,-121.8492113
PAST SALE,May-30-2019,Single Family Residential,1534 Stone Creek Dr,SAN JOSE,CA,95132,1260000,4,2.0,SAN JOSE,1778,9244,1972,311,709,,Sold,,,http://www.redfin.com/CA/San-Jose/1534-Stone-Creek-Dr-95132/home/805356,MLSListings,ML81746313,N,Y,37.4092347,-121.8529475
PAST SALE,June-20-2019,Condo/Co-op,3440 Cunard Ct,SAN JOSE,CA,95132,600000,2,1.0,SAN JOSE,884,1195,1971,290,679,230,Sold,,,http://www.redfin.com/CA/San-Jose/3440-Cunard-Ct-95132/home/1239189,MLSListings,ML81745705,N,Y,37.413763,-121.853453
PAST SALE,July-3-2019,Single Family Residential,3617 Rowley Dr,SAN JOSE,CA,95132,1100000,3,2.0,SAN JOSE,1412,6511,1970,277,779,,Sold,,,http://www.redfin.com/CA/San-Jose/3617-Rowley-Dr-95132/home/573776,MLSListings,ML81745810,N,Y,37.4198783,-121.8589074
PAST SALE,July-3-2019,Single Family Residential,3034 Balmoral Dr,SAN JOSE,CA,95132,1325000,4,2.0,SAN JOSE,1806,6300,1972,277,734,,Sold,,,http://www.redfin.com/CA/San-Jose/3034-Balmoral-Dr-95132/home/1155190,MLSListings,ML81753893,N,Y,37.4059668,-121.8652227
PAST SALE,July-3-2019,Single Family Residential,2667 Autumnvale Dr,SAN JOSE,CA,95132,925000,3,2.5,SAN JOSE,1248,3964,1973,277,741,15,Sold,,,http://www.redfin.com/CA/San-Jose/2667-Autumnvale-Dr-95132/home/1407278,MLSListings,ML81753393,N,Y,37.40661,-121.882536
